Shortcut,Code,B&F,Taxon,Vernacular,Taxon group,Grade,specific
acgri,62.005,1426,Achroia grisella,Lesser Wax Moth,Micro-moth,1,grisella
achroia grisella,62.005,1426,Achroia grisella,Lesser Wax Moth,Micro-moth,1,grisella
lesser wax moth,62.005,1426,Achroia grisella,Lesser Wax Moth,Micro-moth,1,grisella
62.006,62.006,1425,Galleria mellonella,Wax Moth,Micro-moth,1,mellonella
1425,62.006,1425,Galleria mellonella,Wax Moth,Micro-moth,1,mellonella
galleria mellonella,62.006,1425,Galleria mellonella,Wax Moth,Micro-moth,1,mellonella
gamel,62.006,1425,Galleria mellonella,Wax Moth,Micro-moth,1,mellonella
wax moth,62.006,1425,Galleria mellonella,Wax Moth,Micro-moth,1,mellonella
62.007,62.007,1433,Cryptoblabes bistriga,Double-striped Knot-horn,Micro-moth,1,bistriga
1433,62.007,1433,Cryptoblabes bistriga,Double-striped Knot-horn,Micro-moth,1,bistriga
crbis,62.007,1433,Cryptoblabes bistriga,Double-striped Knot-horn,Micro-moth,1,bistriga
cryptoblabes bistriga,62.007,1433,Cryptoblabes bistriga,Double-striped Knot-horn,Micro-moth,1,bistriga
double-striped knot-horn,62.007,1433,Cryptoblabes bistriga,Double-striped Knot-horn,Micro-moth,1,bistriga
62.0071,62.0071,1434,Cryptoblabes gnidiella,Pomegranate Moth,Micro-moth,3,gnidiella
1434,62.0071,1434,Cryptoblabes gnidiella,Pomegranate Moth,Micro-moth,3,gnidiella
crgni,62.0071,1434,Cryptoblabes gnidiella,Pomegranate Moth,Micro-moth,3,gnidiella
cryptoblabes gnidiella,62.0071,1434,Cryptoblabes gnidiella,Pomegranate Moth,Micro-moth,3,gnidiella
pomegranate moth,62.0071,1434,Cryptoblabes gnidiella,Pomegranate Moth,Micro-moth,3,gnidiella
62.008,62.008,1446,Salebriopsis albicilla,Lime Knot-horn,Micro-moth,2,albicilla
1446,62.008,1446,Salebriopsis albicilla,Lime Knot-horn,Micro-moth,2,albicilla
lime knot-horn,62.008,1446,Salebriopsis albicilla,Lime Knot-horn,Micro-moth,2,albicilla
saalb,62.008,1446,Salebriopsis albicilla,Lime Knot-horn,Micro-moth,2,albicilla
salebriopsis albicilla,62.008,1446,Salebriopsis albicilla,Lime Knot-horn,Micro-moth,2,albicilla
62.009,62.009,1448a,Elegia fallax,Channel Island Knot-horn,Micro-moth,3,fallax
1448a,62.009,1448a,Elegia fallax,Channel Island Knot-horn,Micro-moth,3,fallax
channel island knot-horn,62.009,1448a,Elegia fallax,Channel Island Knot-horn,Micro-moth,3,fallax
elegia fallax,62.009,1448a,Elegia fallax,Channel Island Knot-horn,Micro-moth,3,fallax
elfal,62.009,1448a,Elegia fallax,Channel Island Knot-horn,Micro-moth,3,fallax
62.01,62.01,1449,Elegia similella,White-barred Knot-horn,Micro-moth,2,similella
1449,62.01,1449,Elegia similella,White-barred Knot-horn,Micro-moth,2,similella
elegia similella,62.01,1449,Elegia similella,White-barred Knot-horn,Micro-moth,2,similella
elsim,62.01,1449,Elegia similella,White-barred Knot-horn,Micro-moth,2,similella
white-barred knot-horn,62.01,1449,Elegia similella,White-barred Knot-horn,Micro-moth,2,similella
62.011,62.011,1450,Ortholepis betulae,Birch Knot-horn,Micro-moth,2,betulae
